class_id,class_name,pred_pixels,target_pixels,dice,iou
0,background,3793563.0,4030971.0,0.925689376517512,0.861658961834346
1,T1,74337.0,45200.0,0.5629386717119976,0.39172905194500324
2,T2,61902.0,72796.0,0.4667329878731181,0.3044042454359273
3,T3,70765.0,59623.0,0.3642052949706706,0.22264731256120696
4,T4,80418.0,66737.0,0.31636030036820795,0.18790261386858118
5,T5,129143.0,63115.0,0.28361888712415806,0.1652423724549666
6,T6,37727.0,63126.0,0.11763656015073785,0.062494074029324456
7,T7,72714.0,87665.0,0.23409548632156268,0.13256406816659794
8,T8,109239.0,74016.0,0.2044146135210258,0.11384288102650757
9,T9,59213.0,86921.0,0.132385344963305,0.07088472164888954
10,T10,38971.0,95385.0,0.0731489475790203,0.037962948663973345
11,T11,79117.0,88074.0,0.17497353326928497,0.09587451824089645
12,T12,53827.0,101537.0,0.11926829896810542,0.06341590292155719
13,L1,89592.0,80394.0,0.17030814302842406,0.09308023227235963
14,L2,76526.0,77060.0,0.1292044847894391,0.06906392694711923
15,L3,140782.0,63256.0,0.2471206343953228,0.1409798296725831
16,L4,140376.0,49709.0,0.25410737302125835,0.14554581942732925
17,L5,134668.0,37295.0,0.1954839122416131,0.10833037930386819
