partition,loss,first_acc,last_acc,range_exact_acc,range_within1_acc,first_mae,last_mae
train,1.278746649935529,0.972027972027972,0.36363636363636365,0.3356643356643357,0.44755244755244755,0.03496503496503497,2.86013986013986
val,1.7017722659640842,0.9166666666666666,0.2777777777777778,0.19444444444444445,0.3888888888888889,0.25,2.9444444444444446
test,1.4509774261050754,0.9333333333333333,0.3333333333333333,0.28888888888888886,0.4666666666666667,0.06666666666666667,3.0
