class_id,class_name,pred_pixels,target_pixels,dice,iou,region
0,background,7560544.0,7239002.0,0.9421609284501063,0.8906467474960119,background
1,T1,83818.0,68688.0,0.6511088088360385,0.48269928153180924,thoracic
2,T2,103711.0,124505.0,0.5134959862607639,0.3454386813069918,thoracic
3,T3,133794.0,121779.0,0.35735386758633597,0.21754768756208648,thoracic
4,T4,43739.0,121576.0,0.10916129813320533,0.0577316817299815,thoracic
5,T5,112387.0,113781.0,0.16631884263394325,0.09070216049821228,thoracic
6,T6,96172.0,121046.0,0.18590540379164752,0.10247834053656363,thoracic
7,T7,135479.0,127588.0,0.21443206483818025,0.12009179859185355,thoracic
8,T8,116942.0,115384.0,0.20457460637550434,0.11394213711455614,thoracic
9,T9,87601.0,127056.0,0.23524972398181634,0.13330482345448288,thoracic
10,T10,82078.0,120484.0,0.28841539874562644,0.16850782516877025,thoracic
11,T11,76472.0,125391.0,0.30266071543917084,0.17831480022660995,thoracic
12,T12,96019.0,144898.0,0.3583889887415234,0.21831541472789176,thoracic
13,L1,95373.0,118887.0,0.39110426584807656,0.2430886337440425,lumbar
14,L2,106067.0,122013.0,0.4426604700129662,0.2842414653275962,lumbar
15,L3,106516.0,120040.0,0.5464520913171734,0.37594363973535,lumbar
16,L4,104083.0,105729.0,0.5722265647361817,0.40078247052782856,lumbar
17,L5,75205.0,78153.0,0.4689549942000485,0.30629732792181963,lumbar
