metric,raw,oracle_clip,pred_clip,delta_pred_vs_raw,delta_oracle_vs_raw
pixel_accuracy,0.8134651692708535,0.8251003689236301,0.8134651692708535,0.0,0.011635199652776596
macro_dice_fg,0.32051142534255694,0.35343906420460014,0.32051142534255694,0.0,0.032927638862043196
macro_iou_fg,0.1988042815615897,0.2258487158650851,0.1988042815615897,0.0,0.0270444343034954
macro_dice_thoracic,0.2925984365793924,0.29892214211364637,0.2925984365793924,0.0,0.006323705534253987
macro_dice_lumbar,0.3875025983741519,0.4842796772228892,0.3875025983741519,0.0,0.09677707884873732
