epoch,train_loss,val_loss,val_first_acc,val_last_acc,val_range_exact_acc,val_range_within1_acc,val_first_mae,val_last_mae,lr,epoch_seconds
1,1.6544913903816596,1.6043633355034723,0.9166666666666666,0.2777777777777778,0.19444444444444445,0.3611111111111111,0.25,3.111111111111111,0.001,3.216028928756714
2,1.353613324932285,2.0081597169240317,0.9166666666666666,0.2777777777777778,0.19444444444444445,0.3611111111111111,0.25,3.111111111111111,0.001,2.48610520362854
3,1.3210308701841982,1.5835712220933702,0.9166666666666666,0.2777777777777778,0.19444444444444445,0.3611111111111111,0.25,3.111111111111111,0.001,2.317379951477051
4,1.3014105941865828,1.6680817868974473,0.9166666666666666,0.2777777777777778,0.19444444444444445,0.3611111111111111,0.25,3.111111111111111,0.001,2.328594923019409
5,1.3073349099059206,1.7044355471928914,0.9166666666666666,0.2777777777777778,0.19444444444444445,0.3055555555555556,0.25,3.0833333333333335,0.0005,2.3146708011627197
6,1.2909469537801677,1.7017722659640842,0.9166666666666666,0.2777777777777778,0.19444444444444445,0.3888888888888889,0.25,2.9444444444444446,0.0005,2.3147830963134766
7,1.2509094326646177,1.5911760197745428,0.9166666666666666,0.2222222222222222,0.16666666666666666,0.3888888888888889,0.25,3.0,0.0005,2.330312967300415
8,1.265935486013239,1.6672716803020902,0.9166666666666666,0.1111111111111111,0.08333333333333333,0.25,0.25,3.0833333333333335,0.0005,2.3276071548461914
9,1.2528931819475615,1.7753345171610515,0.9166666666666666,0.3055555555555556,0.2222222222222222,0.3611111111111111,0.25,3.0277777777777777,0.0005,2.3244130611419678
10,1.2471491465201745,1.5904702610439725,0.9166666666666666,0.25,0.19444444444444445,0.3333333333333333,0.25,3.111111111111111,0.00025,2.312534809112549
11,1.209468039599332,1.6147091918521457,0.9166666666666666,0.25,0.19444444444444445,0.3333333333333333,0.25,2.888888888888889,0.00025,2.3219850063323975
12,1.195989923877316,1.5371869140201144,0.9166666666666666,0.2777777777777778,0.2222222222222222,0.3888888888888889,0.25,2.861111111111111,0.00025,2.3210701942443848
13,1.183968205552001,1.6714534097247653,0.9166666666666666,0.2777777777777778,0.2222222222222222,0.3888888888888889,0.25,2.9722222222222223,0.00025,2.3144490718841553
14,1.1845215875785668,1.7070601516299777,0.9166666666666666,0.19444444444444445,0.16666666666666666,0.3333333333333333,0.25,2.5833333333333335,0.000125,2.318358898162842
