class_id,class_name,pixel_count,weight
0,background,18230394.0,0.25
1,T1,93470.0,1.6139229950335032
2,T2,135428.0,1.113900983148105
3,T3,129053.0,1.1689258083561136
4,T4,122361.0,1.232855095543364
5,T5,134342.0,1.1229055868290003
6,T6,136262.0,1.1070832832761999
7,T7,141718.0,1.064461693968173
8,T8,162219.0,0.9299365816937691
9,T9,158784.0,0.950054050444513
10,T10,170066.0,0.8870284615724574
11,T11,168068.0,0.897573496119318
12,T12,167315.0,0.90161301942911
13,L1,158559.0,0.9514022057769129
14,L2,163748.0,0.9212532815410358
15,L3,159339.0,0.946744879444339
16,L4,150119.0,1.0048920013174985
17,L5,128149.0,1.177171748088409
