epoch,train_loss,train_dice,train_iou,train_pixel_accuracy
1,1.3115150380134581,0.3674036007666197,0.22504251567576575,0.6706981946475667
2,1.1117107117176055,0.5178454254082694,0.3493869224476708,0.8331713652491034
3,0.8841863524913788,0.6733619614052342,0.5075702202226539,0.8983376277751098
4,0.7315851628780365,0.7221453155061576,0.5651231898815262,0.9143605064507139
5,0.624297604560852,0.7401601772169505,0.5875033983145185,0.9208879327055228
6,0.5404380184412002,0.7602328608525899,0.6132061714230091,0.9297331996898582
7,0.48723830461502077,0.7784260623315846,0.637232048202823,0.9351518333856809
8,0.429119336605072,0.8045950560610572,0.6730732210374698,0.9432897903212373
9,0.43721605837345123,0.7942597576203259,0.6587320632616549,0.940025521283176
10,0.3890353137254715,0.8164555439878649,0.6898393548636883,0.9473331777294697
11,0.36825832068920133,0.8257347476395334,0.7031926951595563,0.9501441687195763
12,0.3408695912361145,0.8371676449985624,0.7199383826893647,0.9536757732755593
