epoch,train_loss,train_pixel_accuracy,train_macro_dice_fg,train_macro_iou_fg
1,3.2845988273620605,0.7178743579719777,0.01103992878955938,0.00558250265069123
2,2.863486099243164,0.8799474209169856,6.9956982176878025e-12,6.9956982176878025e-12
3,2.6218508064746855,0.880296538147751,7.0157128445164434e-12,7.0157128445164434e-12
4,2.4389044284820556,0.8801459783240267,0.0016590071378327945,0.0008397618167416937
5,2.290433111786842,0.8742084261737353,0.027563153390408688,0.014573706356960313
6,2.189739328622818,0.8701927571357113,0.05020750332158832,0.026984973641158896
7,2.126329851150513,0.8707529864733794,0.06168117589106489,0.033340574402229275
8,2.113007178902626,0.8716899533815083,0.0593207596896988,0.032225909675190845
9,2.085308226943016,0.8716966653172036,0.06849466423841281,0.037202913889854694
10,2.047632482647896,0.8710375918617793,0.08170496869637502,0.04432249150556988
11,2.0117002546787264,0.8723329954509556,0.0901527667462176,0.050178637910714
12,1.980343723297119,0.8669136626811031,0.10168346948085383,0.0567093454903718
13,1.956477901339531,0.8703282513196018,0.11073258598113112,0.06199933895481145
14,1.934694829583168,0.8705261809916498,0.11062015619397052,0.06209221488213471
15,1.891817745566368,0.8701544653011336,0.13380784227515646,0.07548022386479313
16,1.9127732932567596,0.8677389893350785,0.13554455792424908,0.0766103043319716
17,1.8643919229507446,0.8693320358855878,0.14725539928599837,0.08379676109180592
18,1.8311079263687133,0.8710960677907499,0.15478154452386214,0.08889351645142601
