epoch,train_loss,train_dice,train_iou,train_pixel_accuracy,val_loss,val_dice,val_iou,val_pixel_accuracy
1,1.257149374485016,0.38671006506858235,0.23970276928875123,0.8485154925652343,1.3489930629730225,0.4426704575767672,0.2842497015040631,0.8465578079223925
2,0.938841587305069,0.6643579010315862,0.49740712841019835,0.8707258116524237,1.0299699246883391,0.606754801023029,0.4354974999869786,0.8599647521972923
3,0.7987350016832352,0.6190904671776593,0.44832080050344825,0.8939686901164555,0.85831378698349,0.5668267814596645,0.3955047262447518,0.8866836547851779
4,0.5837468169629574,0.7443320453504811,0.5927777662832062,0.9206705153363344,0.6184835255146026,0.7136592267749338,0.5547979521678408,0.9262733459472797
5,0.47292457744479177,0.7817518802731103,0.6417016924667426,0.939212199277101,0.5395989209413529,0.7330639241306117,0.5786116111879489,0.9313358306884897
6,0.36389175802469254,0.8386312965515078,0.7221059893050128,0.9529516352047733,0.43136087954044344,0.7941907171713793,0.658637090028524,0.9452821731567487
7,0.5513455614447593,0.7349483747660026,0.5809631481483032,0.9216394004581897,0.6619817197322846,0.6613319722721638,0.49402238536692833,0.9146987915039225
8,0.4922218814492226,0.7699965125510567,0.6260116498922279,0.9184797754827574,0.4965119451284409,0.7634799418183559,0.6174424238142259,0.9236412048339989
9,0.3229111410677433,0.8526619769602364,0.7431654489243131,0.9582809832111114,0.3561852157115936,0.8272264861394839,0.7053591135569238,0.9534053802490323
10,0.30029271468520163,0.8636989963093317,0.7600970108308504,0.9612073118581731,0.44374191462993623,0.7900776599550857,0.6529986543814229,0.9477155685424904
11,0.3158562831580639,0.8563889240596652,0.748846301051725,0.954500882130751,0.34355672299861906,0.8384772014023744,0.7218775235534748,0.9527027130127044
12,0.2565664440393448,0.8835198903114954,0.7913440487157718,0.9665248558956139,0.3567931979894638,0.831464572760781,0.7115441717718469,0.9559009552002037
13,0.31454034261405467,0.8561224656914906,0.7484389193892796,0.96037561188704,0.4424056947231293,0.7921846643608126,0.655882270232847,0.948651313781748
14,0.24748837873339652,0.8859982022067805,0.7953292391106825,0.9664324874398109,0.30002705454826356,0.8545990416932269,0.7461134334624125,0.9603006362915115
