epoch,train_loss,train_pixel_accuracy,train_macro_dice_fg,train_macro_iou_fg,val_loss,val_pixel_accuracy,val_macro_dice_fg,val_macro_iou_fg
1,3.709952063858509,0.20825110541454445,0.02196658964365538,0.011358358234013084,3.710727959871292,0.20680952072162465,0.020000415877340368,0.010284532303696182
2,3.3614428713917732,0.42431810167104184,0.03835430155058002,0.020507852507212276,3.3406036496162415,0.4175333976746994,0.039175071655605305,0.020900815214917486
3,3.210020676255226,0.49156509883823146,0.04837192778743917,0.025819561903002216,3.2378193736076355,0.47676563262951926,0.041518915860600046,0.021876963694329662
4,3.0388389974832535,0.5777103484623272,0.0602373000605603,0.032117898899178994,3.0405041575431824,0.5789744853974391,0.06067512827880005,0.032497117653078646
5,2.881541885435581,0.6044713580419386,0.0630775223743207,0.03373600215670086,2.8764844834804535,0.6041779518128384,0.06064050556190955,0.03268415901906575
6,2.6783909872174263,0.6504384600927171,0.1381104326668469,0.07820329682617383,2.7308931052684784,0.643787384033288,0.11245575985680727,0.06238530264685732
7,2.5892512127757072,0.6718105134510057,0.14697124387606272,0.08428218937710728,2.6592684984207153,0.6673364639283019,0.11321069084370831,0.062944125249724
8,2.541416995227337,0.6900658380417785,0.12863364511672656,0.0730773295181764,2.5781195163726807,0.6946001052857173,0.11362015378855245,0.06479021564366266
9,2.5799946933984756,0.7064842345222772,0.16042910870179158,0.09270099405461604,2.6454269886016846,0.6981036663056138,0.13507639683686654,0.07632560308637809
10,2.4172766506671906,0.7254112485855511,0.1954824494486176,0.11354697256590797,2.4785092175006866,0.7218093872070975,0.1577250993139882,0.08962172541342767
11,2.4258325919508934,0.7132186284141109,0.17480453542110497,0.09868493629858921,2.5328588485717773,0.7053747177124725,0.1474762622334872,0.08171487717433991
12,2.3594889417290688,0.7043989877852361,0.18130957191313812,0.10485674356857334,2.456018626689911,0.6921479701996582,0.14036719114094354,0.07908401805756277
13,2.2396320775151253,0.7311067127046293,0.2554115341532971,0.15329494230521098,2.389126241207123,0.7091825008393027,0.18769613474659486,0.10763026316553839
14,2.195370726287365,0.7437099880642516,0.25820975137961605,0.15527058782355332,2.319451183080673,0.7324633598328274,0.18497367402917828,0.10660928393125124
15,2.1641733311116695,0.7486172630673515,0.24246851852250342,0.1434629482630823,2.3456446528434753,0.73426175117499,0.17387992769186678,0.09959879774907526
16,2.132174886763096,0.7496607341463756,0.2563265840385454,0.1562678906454089,2.2912664115428925,0.737514734268251,0.18439301325852786,0.10771612822323974
17,2.1016006246209145,0.7557742406451661,0.27014191471065924,0.1661839684350538,2.3024061620235443,0.7381417751312879,0.1839689176142285,0.1070205072074557
18,2.0678260400891304,0.7697133261060097,0.3014182323831058,0.18992916736814558,2.267368406057358,0.7548224925995457,0.20921194398411283,0.12240507956882522
19,2.0448271967470646,0.7623524741521102,0.3053022971774561,0.1895393904328191,2.2619446218013763,0.7384169101715711,0.20998914513799521,0.12214245565241978
20,2.027128279209137,0.7735635666620301,0.3088386302223145,0.1932181953719833,2.2498645931482315,0.7524030208588236,0.20882211969142025,0.12285344040760685
21,1.9940249472856522,0.7673668028816485,0.2922566915339235,0.1825550510879283,2.2309526801109314,0.748673915863097,0.20835564863750367,0.12284454695714023
22,1.9735195860266685,0.7782980903746725,0.33834959096912787,0.2153797723786186,2.223189264535904,0.7533888816834083,0.22284977005882456,0.13110134671398632
23,1.966958675533533,0.7778026641361432,0.33150363596451876,0.21013300509775554,2.228048726916313,0.7484092712402942,0.21694534782856797,0.12807996035419425
24,1.9697629697620869,0.7760026114327703,0.33223064593750645,0.21098670152744292,2.2252606600522995,0.7489283084869982,0.21670351630839182,0.12793958095958488
