class_id,class_name,pred_pixels,target_pixels,dice,iou,region
0,background,7436282.0,7209539.0,0.9391589587227688,0.8852965922133331,background
1,T1,85628.0,69524.0,0.6328890378491228,0.46293904106866307,thoracic
2,T2,100865.0,126363.0,0.5094970690253423,0.3418289615137306,thoracic
3,T3,129455.0,123438.0,0.3497684791617412,0.21195115639724751,thoracic
4,T4,37224.0,123259.0,0.10215412224907215,0.053826353052455075,thoracic
5,T5,103088.0,115199.0,0.15366008970230174,0.08322416086522547,thoracic
6,T6,80007.0,123121.0,0.18325390886936682,0.10086930131207662,thoracic
7,T7,117390.0,130137.0,0.21570172143153796,0.1208888244896736,thoracic
8,T8,93030.0,117347.0,0.1961145942798114,0.1087178784540089,thoracic
9,T9,67202.0,129056.0,0.22321637844458203,0.1256294664927353,thoracic
10,T10,80273.0,122659.0,0.2973902588093677,0.1746673072629493,thoracic
11,T11,74304.0,127211.0,0.3020519564335059,0.17789234339770113,thoracic
12,T12,98270.0,146797.0,0.35428678688132514,0.21527856983850993,thoracic
13,L1,114549.0,120787.0,0.37261617432363675,0.22896637440282328,lumbar
14,L2,124439.0,123680.0,0.4187345588229086,0.26480978330505117,lumbar
15,L3,146038.0,121612.0,0.4645694003382605,0.30256619898236525,lumbar
16,L4,173039.0,106883.0,0.4320132036801965,0.27552094488088547,lumbar
17,L5,154917.0,79388.0,0.31674099998157634,0.18817127963169925,lumbar
