epoch,train_loss,train_dice,train_iou,train_pixel_accuracy,val_loss,val_dice,val_iou,val_pixel_accuracy
1,1.2627980291843415,0.509423478316685,0.34176271456461527,0.821561993293051,1.4976817488670349,0.4625154546478797,0.30082608377846953,0.7756248474121521
2,1.2771830171346665,0.5732921701034868,0.4018287122915274,0.8219008535709107,1.4258179903030395,0.5483216228759732,0.37771563695985977,0.8113731384277704
3,0.6391813151538372,0.7289040863957499,0.5734453856664382,0.924015309075893,0.6993345201015473,0.6822556030807755,0.5177450229924564,0.9162462234497231
4,0.7167986407876015,0.6568625127760346,0.4890508373299484,0.9048100597453613,0.7806093215942382,0.6207852927152903,0.45010054593880716,0.8979272842407421
5,0.46434064507484435,0.791386166216343,0.6547882740502061,0.9428735409142863,0.5194793164730072,0.7467082686028513,0.5957976502172618,0.9334817886352667
6,0.4192643590271473,0.8081101432259478,0.6780074002921836,0.941403658884879,0.5178605377674103,0.7498170099261157,0.599765806989633,0.9265275955200335
7,0.4873083017766476,0.7654193442461409,0.619983263692745,0.9352823893229197,0.5445991069078445,0.7273752781412682,0.5715552005615862,0.9328842163086065
8,0.42801951989531517,0.8060229110396328,0.6750740181635388,0.9362447966569655,0.4564188182353973,0.7877612232463588,0.6498399806646951,0.9358915328979615
9,0.3897639252245426,0.8207145753148817,0.695942269899651,0.9511130470899689,0.4484902501106262,0.7780987655765088,0.6367935015172409,0.9420417785644641
10,0.3569818243384361,0.8344123078492851,0.7158726138482917,0.950154766346676,0.38958577811717987,0.8111266125885895,0.6822649250774386,0.9472978591919046
11,0.2682621248066425,0.8734676072939492,0.7753595129171786,0.9641178059128113,0.35926289558410646,0.819717602966357,0.6945097249834002,0.9536853790283292
12,0.4989827886223793,0.7522264265470142,0.6028549109799166,0.9392804319753616,0.5861186265945435,0.7014625284496472,0.5401942907450691,0.9330497741699346
13,0.36779413633048536,0.8352388248204193,0.7170902006513865,0.9560879401440912,0.581396546959877,0.7482538797693342,0.59776808386015,0.9410831451416128
14,0.2998386599123478,0.8582670399517878,0.7517230998705562,0.95797254454415,0.3530259519815445,0.829382883381397,0.7085005606079982,0.9529407501220792
