class_id,class_name,pred_pixels,target_pixels,dice,iou,region
0,background,7284762.0,7209539.0,0.9455462529721201,0.8967166702544109,background
1,T1,86385.0,69524.0,0.6307525543770356,0.46065636740590926,thoracic
2,T2,102485.0,126363.0,0.5081888415039318,0.3406522592438113,thoracic
3,T3,133858.0,123438.0,0.35307194826443833,0.2143821327807358,thoracic
4,T4,43134.0,123259.0,0.1125768511949867,0.05964579340457599,thoracic
5,T5,117212.0,115199.0,0.1623072918271411,0.0883212362487084,thoracic
6,T6,95832.0,123121.0,0.18061410440057632,0.09927201526709874,thoracic
7,T7,128703.0,130137.0,0.21595580281557736,0.12104846009969618,thoracic
8,T8,114907.0,117347.0,0.19593203992527175,0.10860568685061835,thoracic
9,T9,87846.0,129056.0,0.24398115278215976,0.13893993972370097,thoracic
10,T10,85764.0,122659.0,0.29206949329348453,0.1710078320813378,thoracic
11,T11,81576.0,127211.0,0.29715451632861645,0.17450468594008695,thoracic
12,T12,112952.0,146797.0,0.34123711737353657,0.2057178400545617,thoracic
13,L1,121901.0,120787.0,0.3649871439899583,0.2232319719392576,lumbar
14,L2,130313.0,123680.0,0.41409802632586684,0.2611119938071681,lumbar
15,L3,151559.0,121612.0,0.4626991884224068,0.3009815547746568,lumbar
16,L4,177598.0,106883.0,0.42912531944337534,0.2731760367376179,lumbar
17,L5,159213.0,79388.0,0.31802046093973607,0.1890751067761594,lumbar
