class_id,class_name,pred_pixels,target_pixels,dice,iou,region
0,background,7579975.0,7209539.0,0.9403250167652608,0.8873711578005307,background
1,T1,83063.0,69524.0,0.6444847857311272,0.4754537455207998,thoracic
2,T2,102485.0,126363.0,0.5081888415039318,0.3406522592438113,thoracic
3,T3,133858.0,123438.0,0.35307194826443833,0.2143821327807358,thoracic
4,T4,43134.0,123259.0,0.1125768511949867,0.05964579340457599,thoracic
5,T5,117212.0,115199.0,0.1623072918271411,0.0883212362487084,thoracic
6,T6,95832.0,123121.0,0.18061410440057632,0.09927201526709874,thoracic
7,T7,127522.0,130137.0,0.2169456529784834,0.12167080231978725,thoracic
8,T8,105759.0,117347.0,0.20396582790599999,0.11356455855857629,thoracic
9,T9,82608.0,129056.0,0.250018897879422,0.14286948446500686,thoracic
10,T10,82457.0,122659.0,0.29677840831872315,0.17424533001005132,thoracic
11,T11,74158.0,127211.0,0.30810104832765667,0.18210369362022386,thoracic
12,T12,94670.0,146797.0,0.36707293336411567,0.2247944448147097,thoracic
13,L1,96970.0,120787.0,0.4067745238986265,0.25531510134863306,lumbar
14,L2,108441.0,123680.0,0.4531171242608246,0.2929227101614591,lumbar
15,L3,107349.0,121612.0,0.5520416140759691,0.3812551655111137,lumbar
16,L4,103922.0,106883.0,0.5791039111995488,0.40756246411463504,lumbar
17,L5,76585.0,79388.0,0.4864944573773249,0.3214355307471518,lumbar
