partition,loss,last_acc,last_within1_acc,last_mae,overprediction_rate,underprediction_rate
train,1.5053188308836922,0.5873015873015873,0.8412698412698413,0.6111111111111112,0.373015873015873,0.03968253968253968
val,2.2811205685138702,0.40625,0.6875,1.53125,0.375,0.21875
test,2.8559154510498046,0.25,0.425,2.025,0.525,0.225
