class_id,class_name,pixel_count,weight
0,background,12481644.0,0.25
1,T1,152347.0,1.5959173327229714
2,T2,245021.0,0.9922954272831574
3,T3,215255.0,1.129512521838501
4,T4,208332.0,1.167046914964319
5,T5,220518.0,1.1025549745977494
6,T6,226377.0,1.0740190827175309
7,T7,244446.0,0.994629561900569
8,T8,263728.0,0.9219090043087822
9,T9,277818.0,0.8751528622635917
10,T10,298186.0,0.8153743565705516
11,T11,278402.0,0.873317066286688
12,T12,284380.0,0.854958920769205
13,L1,253005.0,0.9609818694822098
14,L2,257151.0,0.9454881291083702
15,L3,233630.0,1.0406763595785922
16,L4,211144.0,1.151504271437249
17,L5,163706.0,1.485182081831738
