epoch,train_loss,train_dice,train_iou,train_pixel_accuracy,val_loss,val_dice,val_iou,val_pixel_accuracy
1,1.3626927256584167,0.4306413777166745,0.2744059717148571,0.7206421378273768,1.324346649646759,0.44866975663393754,0.28921614759516845,0.7234102249146035
2,0.8830069184303284,0.6890485890274719,0.5256095559761371,0.9203780072290231,0.8488372683525085,0.7094670554863745,0.5497473415946593,0.9218227386474759
3,0.7240432009100914,0.7439372392628838,0.5922771238169419,0.920658951285504,0.715751251578331,0.7431082572728905,0.5912269386548697,0.9174350738525548
4,0.5700995460152626,0.7747972355139974,0.632382865899832,0.9313272440208612,0.5522438496351242,0.7866753183134036,0.6483634019709318,0.9337194442749149
5,0.5434348449110985,0.772795666795638,0.6297204515061126,0.9427532939790957,0.537160062789917,0.769307449210099,0.6251012478434208,0.9390859603881953
6,0.49406156986951827,0.7867365919412943,0.6484466495203879,0.9406565060405639,0.5093884110450745,0.7754942450088277,0.6333120459810883,0.9369178771972777
7,0.3760822430253029,0.8437213168538144,0.7296868213103552,0.9588809703131161,0.4005267649888992,0.8262098771999301,0.7038821175537057,0.9526321411132903
8,0.44177474156022073,0.7892100287181827,0.6518141440193259,0.9406089062960671,0.44568064212799074,0.7893756879639254,0.6520401747397203,0.9393060684204217
9,0.3367468170821667,0.8421294992581754,0.7273088818815947,0.9523595174153668,0.37712758481502534,0.8257327715171614,0.7031898289320345,0.9452306747436628
10,0.2900407113134861,0.8693918003375003,0.768959397779942,0.9638362380693561,0.334908252954483,0.8449971296750121,0.7315974283574119,0.9555038452148522
11,0.2866177257150412,0.8717144305988545,0.7726008860164434,0.9631826052875656,0.3075542777776718,0.8615188167276457,0.7567264434283628,0.9590433120727617
12,0.2570729449391365,0.8823392421362005,0.7894517508359746,0.9689205337620396,0.29883150905370715,0.8587935319369677,0.7525312517679382,0.9616146087646558
13,0.2694909192621708,0.8703334172501638,0.7704338877862864,0.9654244956730313,0.30572098642587664,0.8531895841493308,0.7439674181164782,0.9593160629272539
14,0.34048474617302416,0.8273045552274518,0.7054726433153039,0.9545634047790166,0.3618762046098709,0.8243271750234377,0.7011535501299678,0.951713562011728
