class_id,class_name,pixel_count,weight
0,background,23096090.0,0.5
1,T1,225649.0,1.3231303102444738
2,T2,387264.0,1.0099869481245178
3,T3,350998.0,1.0608818125271566
4,T4,360784.0,1.0463950832356073
5,T5,378198.0,1.0220207446005158
6,T6,373085.0,1.0290001326469604
7,T7,390530.0,1.0057548239068586
8,T8,414212.0,0.9765803616978578
9,T9,401980.0,0.9913273815662393
10,T10,417127.0,0.9731620710481309
11,T11,394336.0,1.0008894500690644
12,T12,406245.0,0.9861098810934773
13,L1,366555.0,1.0381252419817464
14,L2,382347.0,1.0164604415495144
15,L3,363423.0,1.0425889565468194
16,L4,315740.0,1.1185477348189024
17,L5,261855.0,1.2282559862982005
