epoch,lr,train_loss,train_pixel_accuracy,train_macro_dice_fg,train_macro_iou_fg,train_macro_dice_thoracic,train_macro_dice_lumbar,val_loss,val_pixel_accuracy,val_macro_dice_fg,val_macro_iou_fg,val_macro_dice_thoracic,val_macro_dice_lumbar
1,0.0004,3.6051199038823447,0.6443813510708163,0.04973019839004435,0.02639562546661628,0.05389324610137972,0.03973888388283944,3.605276107788086,0.6420416937934513,0.04890131276780385,0.026166311961491183,0.05360940436792191,0.03760189292752049
2,0.0004,3.0040633810891046,0.7379511991914425,0.05569445059665767,0.03002706743634842,0.06470090650472728,0.034078956417290564,3.03276883231269,0.7380710177951745,0.05675932738383854,0.030688159382447747,0.06646428568931605,0.033467427450692554
3,0.0004,2.817412383026547,0.7600005463286795,0.06335087422909058,0.03427098160437423,0.06440948975911887,0.060810196957022666,2.852923446231418,0.7617060004340601,0.057347823949731445,0.03057478510445506,0.059092021215107184,0.053161750512829675
4,0.0004,2.639957163068983,0.7519597150896064,0.08107586735986799,0.044484957072212596,0.08857401313297351,0.06308031750441474,2.6842577722337513,0.7544312879774638,0.08045379331683625,0.04414500395056469,0.09122316839457616,0.05460729313026049
5,0.0004,2.5881627665625677,0.7480631624235226,0.10398782143268848,0.057477557821834925,0.11182161849001337,0.08518670849510869,2.6189724604288735,0.7515951877170476,0.09516837784705767,0.05195348330108152,0.1039143749389206,0.07417798482658665
6,0.0004,2.533856643570794,0.7570043091674034,0.09563168502159256,0.05224496155961186,0.10425160933593909,0.07494386666716084,2.572194125917223,0.7603904893663519,0.08508154223382354,0.04611902431407278,0.0856928386122281,0.08361443092565263
7,0.0004,2.4347138669755726,0.7727243020651301,0.0876287895593875,0.04801424677574905,0.11383197302095806,0.024741149251618126,2.492086092631022,0.7758760579427387,0.08094598598468787,0.043482529701541296,0.10220249506829583,0.029930364184028772
8,0.0004,2.3837841815418668,0.7840357298951123,0.13718415012465032,0.07580426561862308,0.14629793326223742,0.11531107059444126,2.4475349850124783,0.7806046549479464,0.1041876353338138,0.056455370947335486,0.10602833955062518,0.09976994521346652
9,0.0004,2.3661078876919217,0.7594270378059522,0.15761977481299524,0.08881543584095418,0.12654735898288777,0.2321935728052531,2.430465300877889,0.7571974012587135,0.14112403171959065,0.07839251857007634,0.1106109056496321,0.21435553428749116
10,0.0004,2.2861596875720553,0.7831074833369829,0.18697306524259863,0.10506178313258469,0.1807717890881478,0.20185612801328054,2.3721018897162542,0.7750151909722528,0.13973585864663304,0.07665683136431349,0.13781217852538966,0.14435269093761718
11,0.0004,2.2522802154223123,0.7818706635161787,0.16564413201788575,0.09268905999554003,0.14812860506087566,0.20768139671471006,2.3834412892659507,0.7680121527778092,0.1447507294325015,0.07966287269635673,0.1277516609966293,0.18554849367859483
12,0.0004,2.2725090781847634,0.7770949314357594,0.1892479678831451,0.10611825501995281,0.16471856385983077,0.24811853753909957,2.3441277742385864,0.7623574490017684,0.16179275628080758,0.0897350082806988,0.13642841202678244,0.22266718249046788
13,0.0004,2.2476215163866677,0.7634995083042039,0.2076328059278466,0.1192455003410956,0.1679642047824563,0.3028374486767834,2.371935341093275,0.7405856662326741,0.16315134409382487,0.09123898341907609,0.13643826771461712,0.22726272740392348
14,0.0004,2.2117659184667797,0.7882933375218604,0.1847224410301548,0.10522209117352024,0.16922797125099687,0.22190916850013398,2.3374546898735895,0.773820393880239,0.15309884725382347,0.08530646959057056,0.15087762198054006,0.15842978790970366
15,0.0004,2.2205509344736734,0.7838629875983465,0.1794412032978329,0.10253579415051542,0.1258141481892782,0.30814613555836423,2.369570361243354,0.7672074381510733,0.1434309059723263,0.07951360147548142,0.11006503705574437,0.22350899137212296
16,0.0004,2.1981045405069985,0.7961888453343601,0.20313339881554549,0.11626628771913823,0.18368200302858576,0.24981674870424891,2.2931083573235407,0.7824784342448212,0.16288835758616974,0.09120433609911031,0.15218772342650175,0.18856987956937293
17,0.0004,2.157799333333969,0.7992141403518425,0.19336350054708934,0.11199197689551008,0.17445283227830868,0.23874910439216293,2.3009052673975625,0.7892096625434314,0.1618982804455468,0.09150678969097906,0.153259485497462,0.18263138832095044
18,0.0004,2.177103317446179,0.788539356151668,0.21805502912716423,0.12634170647348866,0.18510991694405873,0.2971232983666173,2.3218451076083713,0.7664743381076705,0.16110700585051668,0.09038218773628098,0.13892089715372616,0.21435366672281403
19,0.0002,2.1134850548373327,0.7990375737543775,0.23962445478319652,0.14074195629798708,0.20977650118343313,0.3112595434226287,2.259739187028673,0.7797794596354466,0.19067362598936127,0.10932563055576479,0.16889138746579083,0.24295099844593032
