epoch,train_loss,train_pixel_accuracy,train_macro_dice_fg,train_macro_iou_fg,val_loss,val_pixel_accuracy,val_macro_dice_fg,val_macro_iou_fg
1,3.5594657212495804,0.35994114951485773,0.006236362425674875,0.003197716189507287,3.560082793235779,0.35060453414932474,0.005935354556237334,0.003037161945057464
2,3.396998129785061,0.47604448833165997,0.014912796837351524,0.007728947183357521,3.433908522129059,0.4748709201813996,0.01115352556920318,0.0057405948683699505
3,3.17151415348053,0.6409227885897415,0.020390020808492608,0.010749985083223394,3.173729419708252,0.6439156532288446,0.018385760259347437,0.00964437154863236
4,3.0674451887607574,0.6352753412156099,0.018562058853299274,0.010013825921499213,3.0936067700386047,0.6344432830811417,0.015401613221050511,0.008249850144848754
5,2.8209674954414368,0.7374108935159509,0.022060834815653307,0.011633208976767336,2.8290320932865143,0.7604639530182455,0.021973621894435275,0.011648353876110648
6,2.712677665054798,0.663237677680142,0.05435759309936407,0.02949734059519859,2.7430911660194397,0.6698064804077934,0.05781499472125119,0.03186271543511744
7,2.6656335666775703,0.6773361327156383,0.06899830454686179,0.03684732983166683,2.667047083377838,0.6869037151337416,0.06399886178937797,0.03424142348937775
8,2.804259344935417,0.65471170818997,0.0660266684642542,0.03591595793652128,2.816674679517746,0.6624851226807444,0.0640909372202856,0.0349533187351051
9,2.6206289380788803,0.6952707199823474,0.09146428687911717,0.04982121288743524,2.6588160693645477,0.7035603523255101,0.08553344260760189,0.04653041566302831
10,2.5376434326171875,0.6943629431346291,0.1380304020198357,0.07888120569453305,2.607739597558975,0.6935088634491696,0.127470900109863,0.07211084047582896
11,2.4486668333411217,0.7066604977562492,0.16129219945475623,0.09186994378490648,2.5552380979061127,0.7035701274872532,0.14300081049100283,0.08077344334189371
12,2.5806643813848495,0.6289029802595091,0.14089386545746796,0.08000983333061021,2.669876456260681,0.6239922046662273,0.11508008346581067,0.06450507477259351
13,2.413028560578823,0.6811452593122403,0.17986781961271675,0.10274154681268716,2.544495314359665,0.6714804172516652,0.1661042527847869,0.09337417114783013
14,2.4639660343527794,0.726015726725277,0.15844520003536172,0.09161601326130485,2.5428275763988495,0.7350075244904195,0.13930710490214426,0.07944641360026855
15,2.503290683031082,0.6988235352531494,0.13471228758816972,0.07495628946198629,2.5867913365364075,0.693742036819531,0.12099997026399914,0.06746074316038544
16,2.4054157435894012,0.7378312368241726,0.16122287136737062,0.09365614648156988,2.491749733686447,0.7456626892090449,0.15282721539522937,0.08840794108451848
17,2.7975305691361427,0.6717926509796825,0.17243047918136895,0.10034080769234938,2.8687742352485657,0.6734638214112105,0.13966546556733447,0.08013421317411057
18,2.4383882954716682,0.6635602920774634,0.19100509040188535,0.11029296673766402,2.617727965116501,0.6535854339600434,0.1771662908555844,0.10163254452641497
19,2.349808730185032,0.6786010378883193,0.1881628695170498,0.10966619043342972,2.5043493807315826,0.6622478961945384,0.16403698787500592,0.09411540663337768
20,2.587858445942402,0.6746003892686829,0.15476001655997165,0.09090627335946845,2.7238694429397583,0.6693260669709039,0.13344329626703594,0.07605811557448648
21,2.145813152194023,0.750907958499984,0.26439223846132953,0.1604650028281602,2.3648262470960617,0.7302150726319001,0.20186873706286995,0.11815193868697464
22,2.2336651794612408,0.7486942230709167,0.22579674872018504,0.13646594710780793,2.4025059044361115,0.7525265216827982,0.1809926876437975,0.10732079493958524
23,2.261944353580475,0.7571638198126077,0.21132445140956127,0.12645993156557653,2.487001121044159,0.7558298110962495,0.18100896024277854,0.1055808589131494
24,2.224364161491394,0.6926592872256511,0.24053644419859185,0.14287620333325912,2.4836234748363495,0.665991067886432,0.19009178130367022,0.1093563250163973
