epoch,train_loss,train_dice,train_iou,train_pixel_accuracy,val_loss,val_dice,val_iou,val_pixel_accuracy
1,1.217800796031952,0.5237548192207356,0.35478850399656037,0.7935996385490469,1.2464111566543579,0.4981936855935813,0.3317296516966615,0.791626930236856
2,0.8354417681694031,0.6523209452142534,0.4840328584894667,0.8839260557162743,0.8514984011650085,0.6445927379786216,0.47557125894221935,0.8860237121582248
3,0.6494440987706185,0.7357075052216818,0.5819124199979927,0.9230228639998563,0.6593857824802398,0.7291441526102632,0.5737426114127699,0.9296310424804822
4,0.5397847644984722,0.7611030211431552,0.6143392341189724,0.9345759265827714,0.6116646766662598,0.708174699421842,0.5481969575183545,0.9255990982055806
5,0.6053724773228168,0.7488012889783633,0.5984671198765872,0.910588102520641,0.6458413362503052,0.7199154169257697,0.56239675599958,0.9073329925537286
6,0.4329961471259594,0.806745548584772,0.6760884467080783,0.9396428042237892,0.5373173296451569,0.7470329771375063,0.5962112038919594,0.9265365600586077
7,0.8971897050738334,0.5305168717907519,0.36102277161725466,0.9002159166636005,0.9405678391456604,0.4890209429735232,0.3236450834312413,0.9014959335327336
8,0.48601038083434106,0.7705899078929458,0.6267964716088421,0.9283022130810274,0.5512499332427978,0.7309877209734587,0.5760288793536976,0.9228282928466944
9,0.41878164261579515,0.8084604507549733,0.678500727287887,0.9493474900347656,0.5023184895515442,0.7614016668277143,0.6147284768888088,0.9420034408569447
10,0.37856397703289985,0.8267063384233708,0.7046030891469462,0.9543739654732972,0.5060983091592789,0.7565422371954521,0.6084181222926563,0.9428533554077257
11,0.24633148051798343,0.8834908915623594,0.7912975226854039,0.9662273574925085,0.31636452227830886,0.8413143309468871,0.7260936709734321,0.9574426651001058
12,0.25210734866559503,0.8846761068244755,0.7932010712203791,0.9664078238625212,0.3110892176628113,0.8483179203051728,0.7365903622726706,0.9582574844360431
13,0.24728402830660343,0.8830060152315382,0.7905199376831107,0.9669596834002816,0.3248805314302444,0.83849439033459,0.7219030053383327,0.9576093673706135
14,0.2745318848639727,0.8681469828943271,0.767013887646256,0.9625161128973829,0.36841833889484404,0.815552797740955,0.6885514155343657,0.9522617340087982
