class_id,class_name,pred_pixels,target_pixels,dice,iou
0,background,3815344.0,3958456.0,0.9066572332707419,0.8292525096983397
1,T1,99459.0,47558.0,0.4837535795215263,0.3190468072950192
2,T2,87554.0,77365.0,0.44615841716572274,0.287132499283635
3,T3,89593.0,62216.0,0.3301780526890357,0.19773249071616897
4,T4,89810.0,69272.0,0.26254384531711605,0.15110818458056058
5,T5,81682.0,66230.0,0.20481096868945853,0.11408880353169819
6,T6,19477.0,66872.0,0.09074801098923269,0.04753066201977981
7,T7,107930.0,90872.0,0.16067242784700017,0.08735389513218571
8,T8,105877.0,77835.0,0.13900017419036861,0.07469112692416996
9,T9,22605.0,93907.0,0.05916987092265887,0.03048688808180704
10,T10,89013.0,101647.0,0.11443407112601262,0.06068950938208583
11,T11,31244.0,95335.0,0.05662866668991991,0.029139395918296358
12,T12,145777.0,106947.0,0.12773618651521923,0.06822552762003938
13,L1,48802.0,81890.0,0.07596486396201785,0.03948205651056661
14,L2,74954.0,82363.0,0.09928996866772637,0.05223835673879993
15,L3,144558.0,68861.0,0.1750265908884634,0.09590637870055814
16,L4,125443.0,54994.0,0.2505583666362744,0.14322190684307856
17,L5,63758.0,40260.0,0.1469553346618186,0.07930479897193977
