epoch,train_loss,train_pixel_accuracy,train_macro_dice_fg,train_macro_iou_fg,val_loss,val_pixel_accuracy,val_macro_dice_fg,val_macro_iou_fg
1,3.6568709313869476,0.3747148998597986,0.01168528414290577,0.0059879459719501885,3.6470209062099457,0.3706760406495641,0.009481726195007272,0.004857790332764456
2,3.3202508613467216,0.4480991054880434,0.04555714764308306,0.02460273682014374,3.3003109395504,0.4537425041200033,0.04681623799123072,0.025372582152120828
3,3.219671756029129,0.5169241791305151,0.04318265941953157,0.022913280415313004,3.2180478870868683,0.5268874168397123,0.039772579032586845,0.020931440745462382
4,3.172878459095955,0.534204757283832,0.051766693027323424,0.028516172195011937,3.141428768634796,0.5419158935547966,0.048221509100982864,0.025832129282523996
5,2.980470135807991,0.6547936240214804,0.0500497227955069,0.026671555264419448,2.946279227733612,0.6630399227143137,0.04660289297253308,0.024750368223617765
6,2.759473644196987,0.6487752954608043,0.1120615282850556,0.06262683776249203,2.775089353322983,0.6621172428131908,0.10244625121843622,0.05743547683791692
7,2.730025552213192,0.6665242440889425,0.11294074066528775,0.0630552426441217,2.7437778413295746,0.6803789138794707,0.09596982700559002,0.05281981582774104
8,2.591183118522167,0.6993613988920645,0.12339942016273188,0.07146519885690243,2.603053480386734,0.7158548831940373,0.11227431343388992,0.06564229461483143
9,2.512199841439724,0.7101556979869003,0.15829564816782488,0.09220234930926012,2.5419633984565735,0.7178878784180359,0.13676548547444636,0.07887715878677454
10,2.4633216857910156,0.7153156992804666,0.1729063560040169,0.10144388492870211,2.5036699175834656,0.7261803150177654,0.13575105982196256,0.07762864997702043
11,2.461159087717533,0.7109759486234055,0.17915940156682236,0.10403045722971871,2.532436728477478,0.7221853733063406,0.1488678682051131,0.08495337738216055
12,2.489046238362789,0.698317317679978,0.15041957165196754,0.08825541447309009,2.492926925420761,0.7079355716706017,0.13626125855756382,0.07998538117490715
13,2.321474611759186,0.719304722611636,0.22456383852430417,0.13391644587272622,2.3785333931446075,0.7242438793183029,0.17934457283766775,0.10439226106216452
14,2.2683061063289642,0.7260565082430177,0.2371295579606643,0.14308395220513984,2.358234405517578,0.7284889221192052,0.18870051072142635,0.11122641233152926
15,2.2625506445765495,0.7519696761379586,0.24039788200637377,0.14578263835760644,2.322382777929306,0.7575867176056486,0.18701699032671887,0.10987387564993231
16,2.1729544401168823,0.748274121945338,0.26209101704279386,0.1604797055850057,2.316145360469818,0.7415046691895146,0.19290704245749057,0.11395294369318774
17,2.161842565983534,0.7550569623997301,0.25694481526342217,0.15834944378024038,2.316912144422531,0.7492592334747912,0.19216175827829005,0.11422981728967926
18,2.1403195448219776,0.7553838917524568,0.2861338975748043,0.17698703929444734,2.3057118505239487,0.7444641590119017,0.20868919358453256,0.12284227393572704
19,2.0891538560390472,0.764040611234942,0.30273061070554946,0.18942746700775687,2.253686100244522,0.7514541149139996,0.21814339525742366,0.12887448183604316
20,2.0870713591575623,0.765617210794879,0.3021462192216415,0.18993135643581863,2.240769550204277,0.75283384323126,0.21110643823143138,0.1259838811987939
21,2.0496408231556416,0.7646788672589099,0.28836101864366065,0.18123666950758605,2.2320284098386765,0.7522735595703715,0.20976780352268498,0.12530034753169675
22,2.05403683334589,0.7634206705022982,0.3079203067435756,0.19406560121446703,2.2211698591709137,0.7521781921387308,0.2190167161433564,0.1304041443773463
23,2.026268396526575,0.7660914010077133,0.31165302587827837,0.19715794761349864,2.2248213589191437,0.7456552982330927,0.21020915038811128,0.12523813968962183
24,2.030628804117441,0.7676197585171569,0.3092816915119247,0.19576316383660836,2.221494033932686,0.7491474151611925,0.21128366807362153,0.12598527365992088
