class_id,class_name,pred_pixels,target_pixels,dice,iou
0,background,3807879.0,4030971.0,0.9265450927113127,0.8631430034183556
1,T1,72540.0,45200.0,0.5647528452559474,0.3934882179660624
2,T2,64262.0,72796.0,0.4489340279338022,0.28943580481038794
3,T3,70046.0,59623.0,0.337104473703529,0.2027213786908562
4,T4,72349.0,66737.0,0.28947557626727727,0.16923206255164364
5,T5,126668.0,63115.0,0.2780333328102199,0.16146266830378542
6,T6,41666.0,63126.0,0.1102946789916187,0.05836607315142087
7,T7,83602.0,87665.0,0.21207821705750624,0.1186171671971143
8,T8,113720.0,74016.0,0.20601269868748662,0.11483509305861807
9,T9,39306.0,86921.0,0.11279678674837558,0.05976928502653249
10,T10,43723.0,95385.0,0.07772378296663222,0.040433202203105166
11,T11,87996.0,88074.0,0.1782813653707146,0.09786438036415984
12,T12,56511.0,101537.0,0.0982739420992466,0.05167618211727502
13,L1,87959.0,80394.0,0.17021377700919962,0.09302385976891397
14,L2,75846.0,77060.0,0.0946202241959464,0.04965950904051802
15,L3,135956.0,63256.0,0.2510892918134897,0.1435689601775894
16,L4,133215.0,49709.0,0.27693468326038717,0.16072210413299456
17,L5,129636.0,37295.0,0.19254662106383746,0.106529232406824
