class_id,class_name,pred_pixels,target_pixels,dice,iou
0,background,650909.0,701071.0,0.8704122842054836,0.7705574981341158
1,T1,14715.0,8073.0,0.29050377394723087,0.16993531167625345
2,T2,28971.0,13433.0,0.4320818790814055,0.27557681318546534
3,T3,26384.0,10476.0,0.21595225178470015,0.12104622873719445
4,T4,14053.0,12217.0,0.13840883139937538,0.07434974647986464
5,T5,19409.0,12154.0,0.16164496406673495,0.0879291328040835
6,T6,5850.0,12463.0,0.07939714961615262,0.04133970209022292
7,T7,9358.0,16419.0,0.12662451025617316,0.06759163391726687
8,T8,13972.0,14071.0,0.11361123991321857,0.060226843135719216
9,T9,7718.0,17724.0,0.08466315544828774,0.044202749885319
10,T10,70.0,18611.0,0.0005353033027923931,0.0002677233347468557
11,T11,2086.0,18140.0,0.015425689754997246,0.007772795266179731
12,T12,65424.0,20052.0,0.1666900650572478,0.09092301410186183
13,L1,26.0,17450.0,0.00022888538565868133,0.00011445582006899074
14,L2,9266.0,13160.0,0.04566128604986796,0.02336405954990581
15,L3,27335.0,10472.0,0.12389240090131742,0.06603693785236044
16,L4,21320.0,8183.0,0.14229061454285022,0.07659465774789831
17,L5,13374.0,6071.0,0.22370789410009218,0.12594093809346027
