epoch,train_loss,train_dice,train_iou,train_pixel_accuracy,val_loss,val_dice,val_iou,val_pixel_accuracy
1,1.0568638637661933,0.5387756332107212,0.3687151990181022,0.8413775941860827,1.0819560885429382,0.51854621233888,0.3500252364657849,0.8224149703979831
2,0.9916406571865082,0.6147661709918171,0.4437995651839152,0.840648291245954,1.0519961535930633,0.5742640163984738,0.40278426230649894,0.8370227813721014
3,0.633578135073185,0.7541848647641024,0.6053746205462149,0.9232131190270035,0.7079064607620239,0.6962757084432669,0.5340666833876089,0.9092903137207204
4,0.6317465849220752,0.7260372619781899,0.5699046293187782,0.9137826115830181,0.7387938261032104,0.6724995276806256,0.5065908010608535,0.8998182296753121
5,0.5280587166547775,0.7590881303730058,0.6117180026662504,0.9272544908823492,0.5395084768533707,0.7524329687582846,0.603120273232647,0.9282331466674941
6,0.46305782049894334,0.7881533108441685,0.6503737790406858,0.9329559997942495,0.5705205827951432,0.7268977182933334,0.570965686526891,0.9156223297119301
7,0.4284765623509884,0.7987733926740758,0.6649647849978119,0.9446771489749192,0.49266781806945803,0.7556440410005076,0.6072571401581722,0.939743041992199
8,0.41645577549934387,0.814607713462554,0.6872051747882436,0.9410705566406278,0.4702433317899704,0.7799562618730398,0.639285492396106,0.9368791580200315
9,0.35292833372950555,0.8355440624108288,0.7175402996705432,0.9540802097920373,0.39254110157489774,0.8048277286415003,0.6733989299525204,0.9486299514770605
10,0.36658701933920385,0.83201651842546,0.7123529840540884,0.9505786535874876,0.5146230816841125,0.762043726383846,0.6155659473804754,0.9387537002563593
11,0.274050110578537,0.8712300748821212,0.7718402621253181,0.962818217727375,0.3757375985383987,0.8135292976716783,0.6856716276899597,0.951773262023935
12,0.28096867762506006,0.8713652292967448,0.7720524406259728,0.9636363863195281,0.34417075514793394,0.8310893228809069,0.7109947228212733,0.9555747985839929
13,0.3108798131346703,0.8551754440454423,0.7469925759344314,0.9603974924147523,0.4450840145349503,0.7868484472477367,0.6485986400156653,0.9478385925293068
14,0.3088921967893839,0.852895248040236,0.7435199327551872,0.9585360640999676,0.33478130102157594,0.8340660532279714,0.7153630405370258,0.9553442001342859
