epoch,train_loss,train_pixel_accuracy,train_macro_dice_fg,train_macro_iou_fg,val_loss,val_pixel_accuracy,val_macro_dice_fg,val_macro_iou_fg
1,3.767761319875717,0.2280332171728208,0.016706675860519833,0.008677391033359046,3.78556552529335,0.20661878585834345,0.013548403994278741,0.006977259803032551
2,3.2929016053676605,0.42866540333584807,0.030413055742814922,0.016117483997529762,3.328892797231674,0.4151785373689138,0.032358544896438704,0.01717592959212828
3,3.1204837188124657,0.5313618977864867,0.052640888266185876,0.027938567298171874,3.1672455072402954,0.5144953727723325,0.04523929460741162,0.023864394345913115
4,2.9788103625178337,0.6200176420666152,0.05348776304717096,0.02825872175977289,3.0163307189941406,0.5990867614747049,0.04483733672721929,0.023585298455561902
5,2.9348055869340897,0.6025437249077932,0.06807568060834601,0.036567627294323224,2.9806993901729584,0.5839052200318374,0.05480947319055005,0.029236198617545183
6,2.705402046442032,0.6444016108437405,0.1252404057395409,0.07106692537398775,2.8012844920158386,0.6234576702118817,0.09245706425215071,0.051130243747204054
7,2.6167919412255287,0.6383095393105378,0.13747141401288213,0.07730632894841931,2.690084308385849,0.6377406120301156,0.10911161508153049,0.059401495787424666
8,2.545320324599743,0.6971659584651101,0.11930102607875004,0.06796839270805057,2.6248842775821686,0.6958353519440421,0.09311572620890511,0.052335977557520966
9,2.4578977078199387,0.7183733743334744,0.19001348024385448,0.10988424727340619,2.5706489086151123,0.7115607261658402,0.15202243228585577,0.08573602138329792
10,2.394923448562622,0.7159726581876412,0.2007259785792676,0.11814680150845756,2.5213909447193146,0.6951205730438959,0.1599318302648788,0.09072082657274871
11,2.3704432025551796,0.7454616607181764,0.21727001108662658,0.12884133955511765,2.5420006811618805,0.7325828075409572,0.16175992862065286,0.09148728397908906
12,2.340737521648407,0.7069630698552385,0.18142050716448613,0.10554920928199411,2.5159724354743958,0.6835484504700461,0.12579306712240101,0.07109898472126668
13,2.222878146916628,0.7543781825474479,0.2582877158312354,0.15719020045051646,2.3745113909244537,0.7480037212372426,0.20385348300970366,0.11802492464428307
14,2.174484334886074,0.7506808326358038,0.27024495006387544,0.1650643820026918,2.3713262379169464,0.732897043228213,0.192383200510846,0.11155017145482382
15,2.133802779018879,0.7571598840138416,0.2671015952368213,0.1618369503895224,2.3618885278701782,0.7356598377228413,0.18227977567600676,0.10450763790739291
16,2.100004129111767,0.7477117871481428,0.27065161146312405,0.16570954156784895,2.327191710472107,0.7216405868530936,0.18477559300449395,0.10780329567529617
17,2.0611246339976788,0.7603943234398397,0.2837971470524924,0.17514516501252886,2.3189633190631866,0.7327663898468654,0.19278004371616722,0.1118547477166409
18,2.0173234418034554,0.7707636394198117,0.31679957997662367,0.1991727762267739,2.2816338390111923,0.7471766471863395,0.22650980298920917,0.13275717654626085
19,2.0263464152812958,0.7638840448288834,0.30529278514249,0.18986223528621715,2.2804207503795624,0.7351248264313375,0.22145944806239082,0.1294668535458209
20,1.987733155488968,0.7796415904211753,0.33351415838239573,0.21133954788957943,2.27986416220665,0.7454268932343135,0.21835339086915193,0.12840297472256507
21,1.9513600133359432,0.7759717305501438,0.3215026421305237,0.20399585375197704,2.261766657233238,0.7427923679352418,0.2199869928544417,0.1299174298281994
22,1.93883216381073,0.7842837136889391,0.35600662744225486,0.22916196754641072,2.247526079416275,0.748399496078551,0.23451107730196563,0.13816867094939236
23,1.930695302784443,0.7834670657203442,0.35086957684666614,0.22486904785318976,2.2513741701841354,0.7409210205078742,0.22865513463133577,0.13495052255263024
24,1.9342134296894073,0.7820088825528716,0.35207866111367436,0.22617287318672646,2.2479780167341232,0.7433919906616822,0.23233302375664464,0.13716821692304706
