epoch,train_loss,train_dice,train_iou,train_pixel_accuracy,val_loss,val_dice,val_iou,val_pixel_accuracy
1,1.99753997027874,0.2948051495245596,0.17288648827578104,0.6700280147528658,1.964882218837738,0.29625370188686184,0.1738836951342593,0.6970056533814054
2,0.8248465090990067,0.6801632609088879,0.5153389360697301,0.8905962098319627,0.9142130494117737,0.6159137799028528,0.4449966851486658,0.8746566772461176
3,0.6799955405294895,0.7362357903331551,0.5825736990346487,0.9092234485554289,0.7713414669036865,0.6706340269734431,0.5044766005608701,0.8917652130127159
4,0.8860305041074753,0.5884009155482307,0.41683288267138896,0.8770062908436577,0.98385449051857,0.48769032903296394,0.3224804670604811,0.8835283279419167
5,0.4469346456229687,0.8101284051278699,0.6808536388457833,0.9477417184121979,0.5529715359210968,0.7317474005968103,0.5769729160748247,0.9333126068115362
6,0.45831112638115884,0.7815550098429118,0.6414364342720162,0.9289066146754653,0.4964592844247818,0.7586034211226603,0.6110886996393616,0.9269990921020647
7,0.38532130122184755,0.8192919728939022,0.693898876000724,0.9485115195220396,0.4454776018857956,0.7823419590393997,0.6424972633716451,0.9438747406005966
8,0.45439057648181913,0.8048030693921095,0.6733644044608075,0.9469038765385491,0.6665010929107666,0.7020794766410936,0.5409264003504228,0.9307203292846812
9,0.326287442445755,0.8503158337231057,0.7396081973336994,0.9587204651262795,0.4141059756278992,0.8011578552682406,0.6682763521362091,0.9494255065918066
10,0.37552673146128657,0.8207330576366464,0.6959688499296668,0.94925550544787,0.4983875721693039,0.751581045546616,0.6020263012395513,0.9376722335815548
11,0.4226891487836838,0.8026722424422962,0.6703863978562048,0.9482766397344267,0.5406253278255463,0.7352196055958599,0.581302184038499,0.9379631042480587
12,0.6241798929870128,0.708223259717011,0.5482551571271755,0.9095716656379024,0.6830973207950592,0.6645392842628304,0.497610507319442,0.9019308090210149
13,0.4254241559654474,0.8177062999377469,0.691627046557677,0.9530394932009162,0.717325109243393,0.6815883816890707,0.5169769230058102,0.930866050720228
14,0.23549651317298412,0.890109161860982,0.801979015660209,0.9674570815368284,0.29932512491941454,0.8529914031927263,0.7436660941925163,0.9595752716064531
