epoch,train_loss,train_pixel_accuracy,train_macro_dice_fg,train_macro_iou_fg,val_loss,val_pixel_accuracy,val_macro_dice_fg,val_macro_iou_fg
1,3.656220957636833,0.37703859194875067,0.01186443001037782,0.0061080780651976896,3.646230012178421,0.37296485900893855,0.009379233186680686,0.004813539838085041
2,3.3609459549188614,0.42417718086514755,0.03996117183994355,0.02144125279262161,3.3449648320674896,0.4279749393464498,0.03822041018335682,0.020345363075953915
3,3.204265706241131,0.5196560122822644,0.03779557953705955,0.020023894261206016,3.1853834092617035,0.5242650508881749,0.03317451387864738,0.017464514396432543
4,3.0420927926898003,0.5582790376583155,0.07612800888261949,0.0412542307904467,3.0385519564151764,0.5652461051941954,0.07771115413902374,0.042283644138068295
5,2.8423281610012054,0.6456733206990772,0.07916614222308017,0.043215374903585624,2.8063862323760986,0.6546406745911467,0.07384577126981198,0.04061768087443945
6,2.714891269803047,0.620349086204719,0.12783502417606102,0.0720304503926785,2.7297109961509705,0.6191039085389091,0.11300031849934743,0.06326469908541738
7,2.682327590882778,0.7117197578828726,0.12310491598397011,0.06959352056568638,2.6755507588386536,0.736829042434755,0.1118507341132928,0.06320987651456951
8,2.5589016377925873,0.6959002518619333,0.12670817791912958,0.07231580874431946,2.57846537232399,0.7098798751831745,0.11040873155639674,0.06349942716406147
9,2.4922815337777138,0.6881218907582995,0.1511942862467145,0.08698845555410137,2.543581336736679,0.6900000572205328,0.12430631889785271,0.07048103293711301
10,2.442591041326523,0.7256945131202154,0.17937754729965247,0.10531053420417864,2.496234029531479,0.7369666099548966,0.1411499622884877,0.08091236672419709
11,2.4221127182245255,0.7225659715270634,0.17751393005947927,0.10363028849165144,2.489629328250885,0.7329373359680812,0.14889372565721484,0.08573587356533396
12,2.3914356157183647,0.6898400328122749,0.17155845593336838,0.10100251228195943,2.4776218831539154,0.6828291416168968,0.13353108179171122,0.0774196195962954
13,2.3429043367505074,0.7208092431454965,0.21872340071532795,0.1312108759653355,2.4684602320194244,0.7141335010529245,0.1663354593586363,0.09645602078842773
14,2.272994928061962,0.7203086910038818,0.22155546502819423,0.13313375987444465,2.3490474224090576,0.7244057655335129,0.1778410867738518,0.1037459016560036
15,2.270597420632839,0.752103134669286,0.24545540807491165,0.14841836028081723,2.386748105287552,0.7453265190125118,0.18043160079764334,0.10522849736321231
16,2.1688618138432503,0.7383111700832595,0.2515011944288776,0.15415171780751064,2.327089250087738,0.7211141586304375,0.17755940449369062,0.10460381122287517
17,2.1407475620508194,0.7612853810951883,0.2701003744708396,0.1688518130748208,2.306834399700165,0.7471780776978141,0.18896732987997736,0.1116126202285432
18,2.122378196567297,0.7580013235521375,0.28098449152632665,0.17492464222866788,2.2920708656311035,0.7419109344483036,0.19717805433429275,0.1157409305258626
19,2.0887096412479877,0.755093805821911,0.28992577683868465,0.18092087307255755,2.282141223549843,0.7365815639496477,0.20332818405615452,0.11940735228331203
20,2.0889751948416233,0.7631197607652976,0.300762137094651,0.18953138657644403,2.2548673152923584,0.7473270893097526,0.20797524685640367,0.12394596057784035
21,2.0528787076473236,0.7605900500981397,0.28176185300229667,0.17684058021845794,2.241936683654785,0.7448105812073361,0.20598870116043028,0.12272173697894043
22,2.04274545609951,0.7652931612278415,0.31313574951549583,0.19883369798050363,2.22564734518528,0.7506284713745711,0.22261790155610905,0.13260143279968103
23,2.0260865688323975,0.7648500516034469,0.3122444618645835,0.19810764587765245,2.2341353744268417,0.7429697513580934,0.21699570080183553,0.12895838326649928
24,2.025786653161049,0.7670472295519232,0.3118039974210846,0.19802129389941228,2.2273329347372055,0.7449834346771848,0.21470634646851586,0.1278693538079766
