epoch,train_loss,train_dice,train_iou,train_pixel_accuracy,val_loss,val_dice,val_iou,val_pixel_accuracy
1,1.2223518416285515,0.5758773834315151,0.4043734554397119,0.830360823124141,1.2419977068901062,0.5110501489353136,0.3432285839382324,0.8351898193359933
2,0.7768639475107193,0.7632915638041038,0.6171960516029849,0.9264927723456124,0.8263427734375,0.7240958819008662,0.567515906273692,0.918983289930583
3,0.6273995980620384,0.7893445548760275,0.6519976910485069,0.9403437861689866,0.713151502609253,0.7196744939481389,0.5621027547658228,0.9254767523871781
4,0.5443651266396046,0.8062991881046945,0.6754617070458153,0.9362583120414101,0.6438873052597046,0.7431653440379609,0.5912992138727454,0.9143246120877027
5,0.44945846274495127,0.8427991629833792,0.7283084629944403,0.9517638008549569,0.5220380932092666,0.7915102250328095,0.6549581481189447,0.9360941569010633
6,0.384942177683115,0.8498813405365635,0.7389510060928278,0.9567617740271264,0.45487275123596194,0.8030834856797038,0.6709603185115706,0.9452141655816158
7,0.5105521090328693,0.7811338116033008,0.6408692102870622,0.9281719855542514,0.6312534749507904,0.7120391831494131,0.5528422711577673,0.9087941487630518
8,0.30165714360773566,0.8785524803159516,0.7834093570098916,0.9662146738240333,0.37520242631435397,0.8360517721509443,0.7182894841433947,0.9579376220703267
9,0.26116893626749516,0.8932187684629691,0.8070418462215692,0.9698895788292741,0.3418711170554161,0.8431197689761513,0.7287874287819223,0.9594373914930693
10,0.2324274703860283,0.9020373680554294,0.8215556174784456,0.9710474980618911,0.2985364317893982,0.8644909564223686,0.7613245894536635,0.962668524848103
11,0.24225155971944332,0.904233720504743,0.8252067410956567,0.9716488073790206,0.2898372307419777,0.8770107878360937,0.7809610086515764,0.9661393907335184
12,0.2227438163012266,0.9014042158884701,0.8205058028850155,0.971971257261096,0.2902398660778999,0.8599824419851467,0.7543589446841253,0.9625759548611238
13,0.20523158460855484,0.904434634576165,0.8255414629927817,0.9710955243273959,0.26567981392145157,0.8738493010570897,0.7759612473513708,0.9643690321180677
14,0.239371932297945,0.8852782055850806,0.7941696394747497,0.9675106152548508,0.3013221338391304,0.8490797169855426,0.7377398152737323,0.9599375406901177
